timestamp_utc,tren,linea,retraso_min,origen,destino,latitud,longitud,accesible,mat
2026-06-09T00:00:41Z,18096,,54,65400,79400,41.303207,2.0106356,False,"470117,470119"
2026-06-09T00:15:19Z,18096,,167,65400,79400,41.33098,2.0892723,False,"470117,470119"
2026-06-09T00:30:30Z,18096,,165,65400,79400,41.39203,2.1646564,False,"470117,470119"
2026-06-09T00:45:18Z,18096,,164,65400,79400,41.39203,2.1646564,False,"470117,470119"
2026-06-09T03:00:49Z,04056,,0,11511,17000,43.30363,-1.960818,False,121016
2026-06-09T03:15:30Z,04056,,4,11511,17000,43.202488,-2.0365748,False,121016
2026-06-09T03:15:30Z,14541,,0,61307,61200,37.605175,-0.97484106,False,592017
2026-06-09T03:15:30Z,15620,,7,78400,78600,41.62291,0.6889348,False,447085
2026-06-09T03:30:37Z,18047,,-1,60400,18000,39.504204,-3.266447,False,449043
2026-06-09T03:30:37Z,04154,,0,31412,17000,43.09313,-8.475816,False,106053
2026-06-09T03:30:37Z,04056,,0,11511,17000,43.10007,-2.1077492,False,121016
2026-06-09T03:30:37Z,14541,,0,61307,61200,37.747013,-0.9672061,False,592017
2026-06-09T03:30:37Z,15620,,7,78400,78600,41.632442,0.9042095,False,447085
2026-06-09T03:30:37Z,04114,,0,20309,17000,42.893654,-7.4558744,True,730018
2026-06-09T03:30:37Z,12512,,3,08223,31400,42.414093,-8.637009,False,599032
2026-06-09T03:45:29Z,18047,,0,60400,18000,39.62202,-3.3301535,False,449043
2026-06-09T03:45:29Z,15030,,0,78400,79400,41.620914,0.6328743,False,448008
2026-06-09T03:45:29Z,13001,,1,51405,51003,36.505062,-6.2730484,False,449015
2026-06-09T03:45:29Z,15770,,1,79309,71801,42.209103,2.9798985,False,"449026,449031"
2026-06-09T03:45:29Z,15000,,0,71400,79400,41.11299,1.1505345,False,"470114,470187"
2026-06-09T03:45:29Z,04114,,4,20309,17000,42.784565,-7.418486,True,730018
2026-06-09T03:45:29Z,02063,,2,54413,60000,36.713604,-4.5611124,True,112001
2026-06-09T03:45:29Z,04154,,-1,31412,17000,42.870884,-8.543701,False,106053
2026-06-09T03:45:29Z,04056,,2,11511,17000,43.051125,-2.2697318,False,121016
2026-06-09T03:45:29Z,15309,,-2,71300,04040,41.182396,0.5692338,False,448031
2026-06-09T03:45:29Z,17707,,0,35200,35002,39.963493,-4.658199,False,598009
2026-06-09T03:45:29Z,03062,,0,04307,60000,41.979424,2.8167083,False,103016
2026-06-09T03:45:29Z,03052,,-1,71801,60000,41.33405,2.09933,False,103021
2026-06-09T03:45:29Z,15620,,7,78400,78600,41.647438,1.0842447,False,447085
2026-06-09T03:45:29Z,12689,,1,21010,20400,43.494873,-8.1779785,False,594015
2026-06-09T03:45:29Z,08072,,0,60600,60000,39.274403,-2.0106287,False,104010
2026-06-09T03:45:29Z,12512,,0,08223,31400,42.58788,-8.7385435,False,599032
2026-06-09T04:00:47Z,13001,,0,51405,51003,36.531017,-6.1851187,False,449015
2026-06-09T04:00:47Z,15760,,0,79315,71801,42.343063,3.1201985,False,449033
2026-06-09T04:00:47Z,15000,,0,71400,79400,41.11299,1.1505345,False,"470114,470187"
2026-06-09T04:00:47Z,18071,,-1,71100,11200,41.632397,-0.8668278,False,470163
2026-06-09T04:00:47Z,02063,,-1,54413,60000,37.066967,-4.7188325,True,112001
2026-06-09T04:00:47Z,04464,,1,08223,17000,42.370495,-8.632314,False,106065
2026-06-09T04:00:47Z,15309,,-1,71300,04040,41.229565,0.54008985,False,448031
2026-06-09T04:00:47Z,17707,,0,35200,35002,39.969757,-4.3797536,False,598009
2026-06-09T04:00:47Z,03052,,-1,71801,60000,41.330208,1.6897963,False,103021
2026-06-09T04:00:47Z,04060,,1,15410,17000,43.535206,-5.679761,False,106064
2026-06-09T04:00:47Z,15720,,0,71801,79309,41.44333,2.1957388,False,449024
2026-06-09T04:00:47Z,15620,,6,78400,78600,41.67478,1.2771472,False,447085
2026-06-09T04:00:47Z,18910,,4,30100,10000,40.969074,-5.4185863,False,599038
2026-06-09T04:00:47Z,12512,,0,08223,31400,42.67498,-8.721799,False,599032
2026-06-09T04:00:47Z,16000,,-2,11600,11208,43.3163,-1.8998617,False,447172
2026-06-09T04:00:47Z,18047,,3,60400,18000,39.84095,-3.6582608,False,449043
2026-06-09T04:00:47Z,15030,,3,78400,79400,41.54383,0.8254549,False,448008
2026-06-09T04:00:47Z,15051,,3,71500,78400,41.111366,1.2533424,False,470071
2026-06-09T04:00:47Z,18120,,1,65400,79400,40.753696,0.6141503,False,"448006,448021"
2026-06-09T04:00:47Z,18121,,0,79400,65400,41.38095,2.1443734,False,449032
2026-06-09T04:00:47Z,18066,,-1,14100,10000,41.90081,-4.5156417,False,449025
2026-06-09T04:00:47Z,15770,,-1,79309,71801,42.047554,2.957259,False,"449026,449031"
